FULLBARCODE,ITEMNAME,ISWEIGHT,PRICEEX1,FLDPRICEUNIT,UNITID,UNITNAME,UNITQTYX100,FPRICEEX4,FULLDESCRIPTION,PROMONUM,DESCRIPTION,STARTDATE,STARTTIME,ENDDATE,ENDTIME,ISWEIGHTEDPROMO,ADDITIONALISCOUPON,ADDITIONALGIFTCOUNT,MINPURCHASEAMOUNT,MINQTY,MINAMOUNT,MAXQTY,DISCOUNTTYPE,DISCOUNTRATE,DISCOUNTEDPRICE,DISCOUNTEDPRICEPERUNIT,CLUBID,ADDITIONALINFO,PROMOTYPE,PROMOTYPENAME,PROMOSUBTYPE,PROMOSUBTYPENAME,LASTINLIST
8718951297234,פלמוליב סבון נוזלי ח,0,1590,318,12,100 מל,50000,0,פלמוליב סבון נוזלי חלב ודבש 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718951340107,פלמוליב ג'ל רחצה סטנ,0,1590,318,12,100 מל,50000,0,פלמוליב ג'ל רחצה סטנטוריני בריז 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718951340220,פלמוליב ג'ל רחצה גני,0,1590,318,12,100 מל,50000,0,פלמוליב ג'ל רחצה גני איטליה 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8719202904192,מברשת ניקוי לגריל 3ב,0,1290,0,,יחידה,0,0,מברשת ניקוי לגריל 3ב1,,,,,,,,,,,,,,,,,,,,,,,,1
8720181043093,אקס בודי ספריי בלק 1,0,1490,993,12,100 מל,15000,0,אקס בודי ספריי בלק 150 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8736272554256,מפזר חום עומד/שוכב B,0,7900,0,,יחידה,0,0,מפזר חום עומד/שוכב BENATON BT55425,,,,,,,,,,,,,,,,,,,,,,,,1
8755455119051,תנור חימום 2 ספירלות,0,8900,0,,יחידה,0,0,תנור חימום 2 ספירלות BENATON BT-1905,,,,,,,,,,,,,,,,,,,,,,,,1
8762417192236,קמין חשמלי מפזר חום,0,34900,0,,יחידה,0,0,קמין חשמלי מפזר חום BENATON   BT  55922,,,,,,,,,,,,,,,,,,,,,,,,1
8762882219186,סדין חימום יחיד BENA,0,8900,0,,יחידה,0,0,סדין חימום יחיד BENATON BT-1918,,,,,,,,,,,,,,,,,,,,,,,,1
8801085020301,אטריות נאמה אודון 20,0,790,395,11,100 גרם,20000,0,אטריות נאמה אודון 200 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
8803733084512,קופסא 1.6 ליטר  8450,0,2490,0,,יחידה,0,0,קופסא 1.6 ליטר  8450 L&L HSM,,,,,,,,,,,,,,,,,,,,,,,,1
8806581264310,שיפודים נירוסטה,0,1000,0,,יחידה,0,0,שיפודים נירוסטה,,,,,,,,,,,,,,,,,,,,,,,,1
8809168840471,חטיף אצות מיובשות 4.,0,2490,0,,יחידה,0,0,חטיף אצות מיובשות 4.5 גרם 9 יח,,,,,,,,,,,,,,,,,,,,,,,,1
8826728210321,BT-1032 בלנדר שייקר,0,17990,0,,יחידה,0,0,BT-1032 בלנדר שייקר + בקבוק נשיאה SPORT,,,,,,,,,,,,,,,,,,,,,,,,1
8832774554005,תנור קוורץ BENATON B,0,5990,0,,יחידה,0,0,תנור קוורץ BENATON BT-55400,,,,,,,,,,,,,,,,,,,,,,,,1
8850006932964,מארז מברשות שיניים ק,0,2990,0,,יחידה,0,0,מארז מברשות שיניים קולגייט טוויסטר חמישי,,,,,,,,,,,,,,,,,,,,,,,,1
8850180040028,מזרח ומערב יבוא טמפו,0,1090,218,11,100 גרם,50000,0,מזרח ומערב יבוא טמפורה 500 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
8850206250592,רוטב צ'ילי סיראצ'ה 5,0,1990,375,11,100 גרם,53000,0,רוטב צ'ילי סיראצ'ה 530 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
8850206251988,רוטב צ'ילי חריף סריר,0,1990,711,11,100 גרם,28000,0,רוטב צ'ילי חריף סריראצ'ה צהוב 280 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
8850206280049,רטוב צ'ילי חריף 250,0,1790,716,11,100 גרם,25000,0,רטוב צ'ילי חריף 250 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
8850367300266,מזרח ומערב יבוא תערו,0,990,0,,יחידה,0,0,מזרח ומערב יבוא תערובת חמשת תבלינים 50ג,,,,,,,,,,,,,,,,,,,,,,,,1
8850367992164,מזרח ומערב קרם קוקוס,0,790,316,12,100 מל,25000,0,מזרח ומערב קרם קוקוס 20-22% ללא חומר משמ,,,,,,,,,,,,,,,,,,,,,,,,1
